name,language,frequency
Moran,en,30
Terry,en,30
Pope,en,30
Lynch,en,30
Hale,en,30
Robbins,en,30
Manning,en,29
Olson,en,29
Peters,en,29
Lowe,en,29
Mayer,en,29
Warner,en,29
Goldstein,en,29
Daniels,en,29
Howe,en,29
Matthews,en,29
Curry,en,29
Stein,en,28
Parsons,en,28
Gregory,en,28
Cross,en,28
Watkins,en,28
Barton,en,28
Franklin,en,28
Williamson,en,28
Berger,en,27
Larson,en,27
Bryan,en,27
Bacon,en,27
Haynes,en,27
Casey,en,27
Brady,en,27
Cobb,en,27
French,en,27
Bowen,en,27
Potter,en,27
Barber,en,27
Schneider,en,27
Newton,en,27
Lucas,en,27
Greenberg,en,26
Morrison,en,26
Love,en,26
Goldberg,en,26
Frazier,en,26
Kim,en,26
Dawson,en,26
Moss,en,26
McCormick,en,26
Chambers,en,26
Marsh,en,25
Benson,en,25
Kahn,en,25
Becker,en,25
Weaver,en,25
Ames,en,25
Crane,en,25
Sloan,en,25
Ware,en,25
George,en,25
Bass,en,25
Farrell,en,25
Morton,en,25
Foley,en,25
Stanley,en,25
Cameron,en,25
Logan,en,25
Preston,en,24
Bruce,en,24
Levin,en,24
Thornton,en,24
Cummings,en,24
Horton,en,24
Bowman,en,24
Fitzgerald,en,24
Strong,en,24
Peck,en,24
Keller,en,24
Sears,en,24
Donovan,en,24
Stern,en,24
Duffy,en,24
Starr,en,24
Craig,en,24
Howell,en,24
Bradford,en,24
Lyons,en,24
Paul,en,24
Roth,en,24
Morse,en,24
Saunders,en,23
Goldman,en,23
Welch,en,23
Gould,en,23
Savage,en,23
Hudson,en,23
Shannon,en,23
Phelps,en,23
Barnett,en,23
Feldman,en,23
Hayden,en,23
Hardy,en,23
McLaughlin,en,23
Hogan,en,23
Stevenson,en,23
Chase,en,23
Woodward,en,23
Erickson,en,23
Malone,en,23
Swanson,en,22
Keith,en,22
Rosen,en,22
McKay,en,22
Kimball,en,22
Houston,en,22
Mack,en,22
Kane,en,22
McGuire,en,22
Reeves,en,22
Goodwin,en,22
Briggs,en,22
Snow,en,22
Flynn,en,22
Clayton,en,22
Doyle,en,22
Lyon,en,22
Schultz,en,22
Humphrey,en,22
Bond,en,22
Solomon,en,22
MacDonald,en,22
Cooke,en,22
Cochran,en,21
Flanagan,en,21
Morrow,en,21
Kirby,en,21
Gates,en,21
Monroe,en,21
Sawyer,en,21
Walton,en,21
Lamb,en,21
Harrington,en,21
Watts,en,21
Gaines,en,21
Reese,en,21
Maxwell,en,21
Lloyd,en,21
Larkin,en,21
Daniel,en,21
Eaton,en,21
Hines,en,21
Brennan,en,21
Fleming,en,21
Dillon,en,21
Tanner,en,21
Conway,en,21
Block,en,21
Harmon,en,21
O'Neill,en,21
O'Connell,en,21
Carlson,en,21
Putnam,en,21
Lord,en,21
Bernstein,en,21
Thayer,en,20
Gibbs,en,20
Avery,en,20
Ramsey,en,20
Whitney,en,20
Lawson,en,20
Cain,en,20
Browne,en,20
Neal,en,20
Shepard,en,20
Rosenthal,en,20
McCoy,en,20
Hanson,en,20
Benjamin,en,20
Carson,en,20
Rhodes,en,20
Wolff,en,20
Bartlett,en,20
Miles,en,20
Vincent,en,20
Townsend,en,20
Barker,en,20
Carey,en,20
Blair,en,20
Silver,en,20
Osborne,en,20
Haas,en,20
Greer,en,20
Wade,en,20
Norris,en,20
Jacobson,en,19
Dodge,en,19
Shields,en,19
Herman,en,19
Rush,en,19
Joyce,en,19
Abrams,en,19
Diamond,en,19
Hodges,en,19
Sharp,en,19
Hood,en,19
Norton,en,19
Cahill,en,19
Levy,en,19
Noble,en,19
Wiley,en,19
Rodgers,en,19
Mathews,en,19
Garcia,en,19
Higgins,en,19
Sanford,en,19
Horowitz,en,19
Kent,en,19
Hammond,en,19
Gallagher,en,19
Browning,en,19
Rubin,en,19
Aldrich,en,19
McGee,en,19
Orr,en,19
Buck,en,19
Kaufman,en,19
Copeland,en,18
Merrill,en,18
Willard,en,18
Atkins,en,18
Adler,en,18
Hull,en,18
Small,en,18
Dudley,en,18
Nolan,en,18
Sherwood,en,18
Tyler,en,18
Jensen,en,18
McGrath,en,18
Patton,en,18
Archer,en,18
Kerr,en,18
Byrd,en,18
Beard,en,18
Nash,en,18
Epstein,en,18
Siegel,en,18
Waters,en,18
Sampson,en,18
Painter,gr,100
Papadopoulos,gr,23
Miaoulis,gr,14
Angelopoulos,gr,13
Christodoulou,gr,11
Oikonomou,gr,9
Theodoridis,gr,8
Georgiou,gr,8
Nikolopoulos,gr,8
Apostolidis,gr,8
Georgiadis,gr,8
