name,gender,language,frequency
Magdalena,f,de,8
Leonie,f,de,8
Martha,f,de,8
Diana,f,de,8
Wilhelmine,f,de,8
Sybille,f,de,8
Karla,f,de,8
Elfriede,f,de,8
Annett,f,de,8
Denise,f,de,8
Sabina,f,de,8
Bianca,f,de,8
Amalie,f,de,8
Gerda,f,de,8
Constanze,f,de,8
Mandy,f,de,8
Dora,f,de,8
Gaby,f,de,8
Margret,f,de,8
Käte,f,de,8
Johann,m,de,986
Karl,m,de,838
Hans,m,de,829
Friedrich,m,de,672
Wilhelm,m,de,536
Heinrich,m,de,528
Georg,m,de,504
Hermann,m,de,490
Peter,m,de,477
Ernst,m,de,472
Michael,m,de,466
Franz,m,de,465
Otto,m,de,438
Christian,m,de,436
Carl,m,de,425
Paul,m,de,418
Wolfgang,m,de,400
Thomas,m,de,356
Walter,m,de,354
Johannes,m,de,335
Max,m,de,330
Ludwig,m,de,320
Fritz,m,de,315
Werner,m,de,313
Rudolf,m,de,308
Andreas,m,de,300
Martin,m,de,291
Klaus,m,de,272
August,m,de,266
Kurt,m,de,263
Heinz,m,de,260
Erich,m,de,241
Gerhard,m,de,240
Gustav,m,de,240
Robert,m,de,228
Richard,m,de,226
Jürgen,m,de,219
Alexander,m,de,219
Stefan,m,de,208
Adolf,m,de,205
Alfred,m,de,202
Herbert,m,de,198
Helmut,m,de,186
Frank,m,de,185
Bernhard,m,de,184
Christoph,m,de,183
Josef,m,de,180
Julius,m,de,179
Theodor,m,de,178
Albert,m,de,176
Horst,m,de,175
Matthias,m,de,174
Dieter,m,de,169
Manfred,m,de,165
Philipp,m,de,157
Daniel,m,de,154
Sebastian,m,de,153
Bernd,m,de,152
Ulrich,m,de,148
Joachim,m,de,148
Markus,m,de,142
Eduard,m,de,142
Uwe,m,de,141
Günter,m,de,135
Joseph,m,de,135
Anton,m,de,135
Ferdinand,m,de,131
Günther,m,de,126
Emil,m,de,120
Hugo,m,de,117
Siegfried,m,de,116
Rainer,m,de,115
Jörg,m,de,115
Florian,m,de,106
Tobias,m,de,103
Rolf,m,de,103
Ralf,m,de,101
Willi,m,de,100
